first_1,first_2,first_3,first_4,first_5,first_6,pubs_1,pubs_2,pubs_3,pubs_4,pubs_5,pubs_6,dems_1,dems_2,dems_3,dems_4,dems_5,dems_6,third_1,third_2,third_3,third_4,third_5,third_6,state,partyID,partyID_4_TEXT,relig,relig_10_TEXT,religiosity,educ
"strong,great,sincere,happy","important,decent,confident,consistent","irresponsible,unfair,destructive,selfish","ignorant,irrational,unjust,foolish","individualistic,competitive,urban,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,sensible,great,sincere","important,confident,truthful,moral","irresponsible,unfair,destructive,selfish","irrational,dangerous,poor,foolish","individualistic,competitive,traditional,profit-driven","collectivist,cooperative,old,purpose-driven","kind,strong,great,wise","important,decent,confident,consistent","unacceptable,irresponsible,unfair,selfish","ignorant,irrational,hateful,unjust","individualistic,competitive,young,profit-driven","collectivist,cooperative,modern,purpose-driven","strong,encouraging,great,happy","important,decent,confident,consistent","irresponsible,unfair,dishonest,selfish","ignorant,dangerous,hateful,unjust","individualistic,competitive,traditional,profit-driven","pragmatic,modern,old,purpose-driven",Washington,Democrat,,Atheists (do not believe God exists),,Not at all1,Bachelor's degree
"kind,encouraging,sensible,happy","important,confident,respectful,consistent","irresponsible,dishonest,destructive,selfish","ignorant,dangerous,unjust,foolish","competitive,concrete,young,profit-driven","cooperative,modern,abstract,purpose-driven","strong,encouraging,great,wise","important,decent,truthful,moral","unacceptable,unfair,dishonest,destructive","irrational,dangerous,unjust,poor","individualistic,competitive,traditional,profit-driven","pragmatic,cooperative,old,rural","strong,great,wise,sincere","important,confident,respectful,consistent","unacceptable,irresponsible,unfair,dishonest","ignorant,hateful,unjust,foolish","individualistic,artistic,competitive,urban","cooperative,modern,abstract,purpose-driven","strong,encouraging,great,happy","important,decent,confident,respectful","unacceptable,unfair,dishonest,destructive","ignorant,irrational,unjust,foolish","individualistic,artistic,urban,profit-driven","cooperative,modern,abstract,purpose-driven",Mississippi,Republican,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,Extremely7,Some college or Associate's degree
"strong,encouraging,sensible,great","important,confident,truthful,moral","unacceptable,unfair,dishonest,destructive","ignorant,dangerous,poor,foolish","individualistic,competitive,traditional,profit-driven","collectivist,cooperative,modern,purpose-driven","kind,strong,great,wise","important,confident,consistent,moral","irresponsible,dishonest,destructive,selfish","ignorant,irrational,dangerous,poor","competitive,traditional,concrete,profit-driven","cooperative,modern,old,purpose-driven","strong,great,wise,happy","important,decent,confident,consistent","irresponsible,disgusting,unfair,dishonest","dangerous,hateful,unjust,awful","individualistic,competitive,urban,profit-driven","collectivist,pragmatic,abstract,rural","kind,strong,great,wise","important,decent,confident,moral","irresponsible,unfair,dishonest,destructive","irrational,dangerous,poor,foolish","individualistic,competitive,traditional,profit-driven","collectivist,cooperative,modern,purpose-driven",Texas,Republican,,Agnostic (not sure if God exists),,3,Some college or Associate's degree
"strong,encouraging,great,happy","important,decent,confident,consistent","unacceptable,irresponsible,stupid,selfish","irrational,hateful,poor,foolish","individualistic,traditional,concrete,young","pragmatic,modern,rural,purpose-driven","strong,sensible,great,wise","important,confident,respectful,moral","irresponsible,stupid,unfair,destructive","ignorant,unjust,foolish,awful","individualistic,competitive,concrete,profit-driven","collectivist,cooperative,modern,purpose-driven","strong,encouraging,sensible,wise","important,decent,confident,moral","irresponsible,stupid,dishonest,selfish","ignorant,unjust,poor,foolish","competitive,concrete,young,profit-driven","collectivist,pragmatic,modern,purpose-driven","strong,great,wise,happy","healthy,important,decent,consistent","irresponsible,dishonest,destructive,selfish","irrational,unjust,poor,foolish","competitive,concrete,young,profit-driven","collectivist,pragmatic,modern,purpose-driven",Florida,Independent,,Catholicism (including Roman Catholic),,6,High school diploma or GED
"strong,encouraging,great,sincere","important,decent,confident,consistent","irresponsible,dishonest,destructive,selfish","ignorant,irrational,hateful,unjust","individualistic,competitive,urban,profit-driven","pragmatic,modern,abstract,purpose-driven","strong,sensible,great,wise","important,decent,confident,moral","irresponsible,disgusting,stupid,destructive","ignorant,irrational,dangerous,foolish","competitive,traditional,concrete,profit-driven","collectivist,pragmatic,old,purpose-driven","kind,encouraging,sensible,sincere","important,decent,confident,respectful","unacceptable,unfair,destructive,selfish","ignorant,irrational,hateful,unjust","individualistic,artistic,competitive,urban","collectivist,cooperative,modern,abstract","strong,sensible,great,sincere","important,decent,confident,consistent","unacceptable,irresponsible,unfair,destructive","ignorant,irrational,hateful,unjust","individualistic,competitive,urban,profit-driven","pragmatic,modern,abstract,purpose-driven",Florida,Democrat,,Atheists (do not believe God exists),,Not at all1,Some college or Associate's degree
"kind,strong,sensible,happy","important,confident,respectful,truthful","irresponsible,stupid,dishonest,selfish","ignorant,irrational,foolish,awful","competitive,concrete,young,profit-driven","collectivist,cooperative,modern,purpose-driven","kind,great,wise,happy","important,respectful,consistent,moral","unacceptable,disgusting,stupid,selfish","irrational,dangerous,foolish,awful","individualistic,artistic,concrete,young","collectivist,cooperative,modern,purpose-driven","kind,great,wise,sincere","healthy,important,decent,moral","irresponsible,disgusting,stupid,dishonest","ignorant,hateful,poor,awful","competitive,traditional,young,profit-driven","cooperative,modern,rural,purpose-driven","kind,strong,great,happy","important,confident,respectful,truthful","disgusting,stupid,destructive,selfish","irrational,hateful,foolish,awful","individualistic,competitive,young,profit-driven","collectivist,cooperative,modern,purpose-driven",Texas,Republican,,Catholicism (including Roman Catholic),,5,Some college or Associate's degree
"kind,strong,encouraging,sincere","important,decent,confident,moral","irresponsible,stupid,destructive,selfish","ignorant,irrational,poor,foolish","individualistic,traditional,young,profit-driven","pragmatic,modern,abstract,rural","strong,sensible,great,happy","important,respectful,truthful,moral","irresponsible,disgusting,unfair,dishonest","ignorant,irrational,poor,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,modern,rural,purpose-driven","kind,strong,sensible,sincere","important,confident,respectful,moral","irresponsible,stupid,destructive,selfish","ignorant,irrational,poor,foolish","individualistic,traditional,young,profit-driven","pragmatic,cooperative,modern,rural","kind,strong,encouraging,sincere","important,confident,respectful,moral","irresponsible,stupid,dishonest,destructive","ignorant,irrational,poor,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,modern,rural,purpose-driven",Texas,Democrat,,Other (please specify),Paganism,Extremely7,Some college or Associate's degree
"strong,encouraging,wise,happy","important,decent,confident,consistent","unfair,dishonest,destructive,selfish","ignorant,dangerous,unjust,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,modern,abstract,purpose-driven","sensible,great,wise,happy","healthy,important,confident,respectful","irresponsible,disgusting,stupid,selfish","irrational,dangerous,foolish,awful","competitive,traditional,concrete,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,encouraging,sensible,happy","decent,confident,consistent,truthful","disgusting,dishonest,destructive,selfish","dangerous,hateful,unjust,awful","individualistic,competitive,traditional,profit-driven","collectivist,modern,abstract,purpose-driven","strong,sensible,great,wise","important,confident,consistent,moral","irresponsible,unfair,destructive,selfish","ignorant,hateful,unjust,foolish","individualistic,competitive,traditional,profit-driven","collectivist,pragmatic,abstract,purpose-driven",California,Democrat,,Other (please specify),none,Not at all1,Some college or Associate's degree
"strong,encouraging,sincere,happy","important,confident,consistent,moral","stupid,dishonest,destructive,selfish","ignorant,dangerous,hateful,unjust","individualistic,traditional,concrete,profit-driven","collectivist,modern,rural,purpose-driven","strong,great,wise,happy","important,decent,respectful,moral","irresponsible,stupid,destructive,selfish","ignorant,irrational,poor,foolish","individualistic,competitive,traditional,concrete","pragmatic,cooperative,modern,purpose-driven","strong,encouraging,sincere,happy","important,decent,consistent,moral","stupid,dishonest,destructive,selfish","ignorant,dangerous,hateful,unjust","individualistic,competitive,traditional,profit-driven","pragmatic,modern,rural,purpose-driven","kind,strong,sincere,happy","important,confident,respectful,moral","irresponsible,stupid,destructive,selfish","ignorant,dangerous,unjust,foolish","individualistic,competitive,young,profit-driven","collectivist,modern,rural,purpose-driven",Maine,Democrat,,Other (please specify),None,Not at all1,Some college or Associate's degree
"strong,sensible,great,wise","important,confident,consistent,moral","irresponsible,dishonest,destructive,selfish","ignorant,irrational,unjust,foolish","individualistic,competitive,traditional,young","abstract,old,rural,purpose-driven","sensible,great,wise,sincere","decent,confident,respectful,moral","unacceptable,disgusting,stupid,dishonest","irrational,dangerous,poor,awful","individualistic,artistic,traditional,profit-driven","pragmatic,cooperative,modern,abstract","kind,strong,wise,sincere","confident,respectful,truthful,moral","unacceptable,irresponsible,dishonest,destructive","irrational,dangerous,hateful,unjust","individualistic,competitive,traditional,profit-driven","collectivist,pragmatic,cooperative,abstract","kind,strong,sensible,wise","important,decent,confident,moral","irresponsible,unfair,destructive,selfish","ignorant,irrational,unjust,foolish","individualistic,competitive,traditional,profit-driven","cooperative,abstract,old,purpose-driven",California,Democrat,,Catholicism (including Roman Catholic),,4,Bachelor's degree
"strong,encouraging,sensible,great","important,decent,confident,respectful","irresponsible,stupid,dishonest,selfish","ignorant,irrational,hateful,foolish","individualistic,competitive,traditional,profit-driven","modern,abstract,rural,purpose-driven","strong,encouraging,sensible,wise","important,decent,consistent,moral","irresponsible,disgusting,stupid,destructive","ignorant,irrational,poor,foolish","competitive,traditional,concrete,profit-driven","pragmatic,abstract,old,rural","encouraging,great,wise,happy","important,decent,confident,respectful","unacceptable,unfair,dishonest,selfish","ignorant,dangerous,unjust,poor","individualistic,competitive,urban,profit-driven","pragmatic,modern,abstract,purpose-driven","strong,encouraging,great,wise","important,decent,respectful,consistent","irresponsible,unfair,dishonest,selfish","irrational,dangerous,hateful,unjust","individualistic,competitive,young,profit-driven","pragmatic,cooperative,modern,purpose-driven",Arizona,Democrat,,Agnostic (not sure if God exists),,Not at all1,Bachelor's degree
"strong,encouraging,sensible,sincere","important,decent,confident,truthful","stupid,unfair,dishonest,selfish","ignorant,irrational,unjust,foolish","individualistic,competitive,young,profit-driven","cooperative,modern,rural,purpose-driven","strong,great,wise,happy","important,confident,respectful,moral","disgusting,dishonest,destructive,selfish","irrational,unjust,poor,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,modern,rural,purpose-driven","kind,strong,sensible,happy","important,respectful,consistent,moral","stupid,unfair,dishonest,selfish","ignorant,hateful,unjust,foolish","individualistic,competitive,urban,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,sensible,great,happy","important,confident,respectful,moral","irresponsible,unfair,dishonest,selfish","ignorant,irrational,unjust,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,cooperative,modern,purpose-driven",Connecticut,Democrat,,Atheists (do not believe God exists),,Not at all1,Bachelor's degree
"strong,encouraging,sensible,great","important,confident,consistent,moral","irresponsible,unfair,destructive,selfish","ignorant,irrational,unjust,poor","individualistic,young,urban,profit-driven","collectivist,cooperative,modern,rural","strong,sensible,great,wise","respectful,consistent,truthful,moral","unacceptable,irresponsible,dishonest,destructive","ignorant,irrational,dangerous,awful","individualistic,competitive,traditional,profit-driven","cooperative,old,rural,purpose-driven","strong,encouraging,sensible,great","decent,confident,respectful,truthful","unacceptable,irresponsible,dishonest,selfish","irrational,unjust,poor,foolish","individualistic,artistic,competitive,young","collectivist,modern,abstract,purpose-driven","strong,encouraging,sensible,great","important,decent,confident,respectful","unacceptable,dishonest,destructive,selfish","ignorant,irrational,unjust,poor","individualistic,competitive,traditional,profit-driven","pragmatic,cooperative,abstract,old",Ohio,Democrat,,Catholicism (including Roman Catholic),,6,Bachelor's degree
"kind,strong,encouraging,great","important,decent,confident,moral","unacceptable,irresponsible,destructive,selfish","irrational,dangerous,unjust,foolish","individualistic,competitive,traditional,young","collectivist,pragmatic,cooperative,purpose-driven","kind,strong,great,wise","important,decent,confident,moral","unacceptable,irresponsible,unfair,destructive","irrational,dangerous,unjust,foolish","individualistic,competitive,traditional,profit-driven","collectivist,pragmatic,cooperative,purpose-driven","strong,sensible,great,sincere","important,decent,confident,consistent","irresponsible,unfair,dishonest,selfish","ignorant,irrational,dangerous,unjust","individualistic,competitive,young,profit-driven","collectivist,pragmatic,cooperative,purpose-driven","kind,strong,encouraging,sensible","important,decent,confident,truthful","irresponsible,unfair,dishonest,selfish","ignorant,dangerous,unjust,poor","individualistic,competitive,young,profit-driven","collectivist,pragmatic,cooperative,purpose-driven",North Carolina,Republican,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,4,Bachelor's degree
"strong,encouraging,great,wise","important,confident,respectful,consistent","irresponsible,dishonest,destructive,selfish","ignorant,irrational,dangerous,foolish","individualistic,competitive,urban,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,encouraging,sensible,wise","important,respectful,truthful,moral","unfair,dishonest,destructive,selfish","ignorant,irrational,hateful,foolish","competitive,traditional,concrete,profit-driven","pragmatic,cooperative,modern,purpose-driven","kind,encouraging,great,happy","important,decent,confident,moral","irresponsible,unfair,dishonest,selfish","ignorant,irrational,hateful,unjust","individualistic,competitive,concrete,profit-driven","abstract,old,rural,purpose-driven","strong,encouraging,great,sincere","healthy,confident,respectful,moral","irresponsible,disgusting,dishonest,selfish","ignorant,irrational,poor,foolish","competitive,concrete,urban,profit-driven","cooperative,modern,abstract,purpose-driven",North Carolina,Independent,,Atheists (do not believe God exists),,Not at all1,"Post-graduate education (Master's degree, PhD, MBA, MD, etc.)"
"strong,encouraging,great,happy","important,confident,respectful,moral","irresponsible,unfair,destructive,selfish","ignorant,dangerous,hateful,foolish","individualistic,competitive,urban,profit-driven","cooperative,modern,rural,purpose-driven","strong,encouraging,sensible,wise","healthy,important,consistent,moral","unacceptable,irresponsible,dishonest,selfish","ignorant,irrational,dangerous,poor","competitive,traditional,urban,profit-driven","cooperative,modern,abstract,purpose-driven","strong,great,sincere,happy","important,confident,respectful,consistent","unacceptable,irresponsible,unfair,destructive","ignorant,irrational,dangerous,poor","competitive,traditional,urban,profit-driven","pragmatic,cooperative,abstract,rural","encouraging,great,sincere,happy","healthy,important,decent,moral","unacceptable,irresponsible,unfair,dishonest","irrational,dangerous,hateful,unjust","artistic,traditional,urban,profit-driven","cooperative,modern,abstract,purpose-driven",Texas,Republican,,Catholicism (including Roman Catholic),,5,Some college or Associate's degree
"kind,encouraging,great,happy","healthy,important,decent,confident","irresponsible,unfair,destructive,selfish","dangerous,hateful,poor,foolish","competitive,traditional,urban,profit-driven","pragmatic,modern,abstract,old","strong,encouraging,sensible,great","healthy,important,decent,confident","unacceptable,unfair,dishonest,destructive","ignorant,irrational,dangerous,hateful","competitive,traditional,urban,profit-driven","cooperative,old,rural,purpose-driven","encouraging,great,wise,happy","important,decent,respectful,consistent","unacceptable,irresponsible,disgusting,unfair","irrational,unjust,poor,foolish","individualistic,artistic,young,urban","collectivist,cooperative,abstract,purpose-driven","kind,encouraging,great,happy","healthy,important,decent,confident","unacceptable,irresponsible,stupid,unfair","ignorant,dangerous,unjust,poor","artistic,traditional,urban,profit-driven","collectivist,modern,abstract,purpose-driven",California,Democrat,,Atheists (do not believe God exists),,Not at all1,Bachelor's degree
"kind,strong,great,wise","healthy,decent,consistent,moral","unacceptable,irresponsible,disgusting,selfish","ignorant,hateful,unjust,poor","traditional,concrete,young,urban","pragmatic,cooperative,modern,purpose-driven","strong,sensible,great,wise","important,confident,respectful,moral","unacceptable,irresponsible,unfair,selfish","irrational,dangerous,unjust,foolish","competitive,traditional,young,profit-driven","cooperative,modern,old,purpose-driven","kind,encouraging,sensible,sincere","important,confident,respectful,consistent","irresponsible,stupid,dishonest,destructive","ignorant,unjust,poor,foolish","individualistic,artistic,competitive,young","modern,abstract,rural,purpose-driven","strong,encouraging,great,sincere","important,respectful,consistent,moral","disgusting,stupid,unfair,selfish","ignorant,hateful,unjust,poor","individualistic,competitive,traditional,urban","pragmatic,cooperative,old,purpose-driven",Massachusetts,Republican,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,6,Some college or Associate's degree
"kind,strong,great,happy","decent,respectful,consistent,moral","unacceptable,dishonest,destructive,selfish","irrational,dangerous,unjust,foolish","individualistic,competitive,traditional,profit-driven","cooperative,abstract,rural,purpose-driven","kind,strong,great,wise","important,decent,consistent,moral","irresponsible,stupid,dishonest,destructive","ignorant,dangerous,hateful,poor","competitive,traditional,young,urban","pragmatic,cooperative,modern,old","kind,strong,great,wise","important,decent,respectful,truthful","unacceptable,unfair,dishonest,destructive","ignorant,irrational,poor,foolish","individualistic,competitive,traditional,young","pragmatic,cooperative,rural,purpose-driven","kind,strong,great,happy","decent,respectful,truthful,moral","irresponsible,unfair,destructive,selfish","ignorant,dangerous,unjust,poor","competitive,traditional,young,urban","pragmatic,cooperative,modern,rural",Louisiana,Democrat,,Agnostic (not sure if God exists),,Not at all1,Some college or Associate's degree
"strong,encouraging,sensible,great","important,decent,confident,respectful","unacceptable,irresponsible,destructive,selfish","irrational,dangerous,unjust,poor","individualistic,competitive,concrete,profit-driven","collectivist,cooperative,modern,purpose-driven","strong,encouraging,sensible,great","healthy,important,confident,consistent","irresponsible,unfair,dishonest,selfish","ignorant,irrational,dangerous,awful","competitive,concrete,young,urban","collectivist,pragmatic,modern,purpose-driven","strong,encouraging,sensible,sincere","healthy,confident,respectful,consistent","unacceptable,irresponsible,unfair,destructive","irrational,dangerous,unjust,poor","individualistic,competitive,concrete,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,encouraging,great,sincere","important,decent,confident,respectful","unacceptable,irresponsible,unfair,selfish","irrational,dangerous,unjust,poor","individualistic,competitive,concrete,profit-driven","collectivist,cooperative,modern,purpose-driven",Michigan,Democrat,,Catholicism (including Roman Catholic),,4,Some college or Associate's degree
"kind,strong,great,wise","healthy,confident,respectful,truthful","disgusting,stupid,unfair,selfish","ignorant,irrational,dangerous,poor","artistic,concrete,young,profit-driven","cooperative,modern,abstract,purpose-driven","encouraging,sensible,wise,happy","decent,confident,consistent,truthful","unacceptable,disgusting,unfair,selfish","irrational,dangerous,foolish,awful","competitive,traditional,concrete,urban","pragmatic,abstract,old,purpose-driven","strong,sensible,great,happy","decent,respectful,truthful,moral","unacceptable,disgusting,stupid,destructive","ignorant,dangerous,poor,foolish","individualistic,traditional,concrete,urban","collectivist,pragmatic,modern,purpose-driven","strong,encouraging,wise,happy","healthy,decent,respectful,truthful","irresponsible,stupid,dishonest,selfish","irrational,dangerous,unjust,foolish","individualistic,artistic,traditional,urban","collectivist,cooperative,rural,purpose-driven",Michigan,Republican,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,6,Bachelor's degree
"strong,encouraging,wise,happy","important,decent,confident,consistent","irresponsible,unfair,destructive,selfish","irrational,dangerous,unjust,foolish","individualistic,competitive,urban,profit-driven","modern,old,rural,purpose-driven","strong,encouraging,sensible,great","important,confident,consistent,moral","disgusting,stupid,dishonest,selfish","irrational,dangerous,unjust,poor","competitive,traditional,concrete,profit-driven","collectivist,pragmatic,modern,purpose-driven","kind,sensible,sincere,happy","healthy,decent,confident,truthful","irresponsible,stupid,destructive,selfish","ignorant,irrational,unjust,foolish","competitive,young,urban,profit-driven","cooperative,modern,abstract,purpose-driven","strong,encouraging,wise,happy","decent,confident,consistent,truthful","unacceptable,irresponsible,destructive,selfish","ignorant,irrational,dangerous,hateful","competitive,traditional,urban,profit-driven","collectivist,cooperative,old,purpose-driven",Illinois,Republican,,Agnostic (not sure if God exists),,Not at all1,Some college or Associate's degree
"strong,encouraging,sensible,happy","decent,respectful,consistent,truthful","irresponsible,dishonest,destructive,selfish","ignorant,hateful,unjust,foolish","individualistic,traditional,urban,profit-driven","collectivist,modern,old,rural","strong,great,wise,sincere","decent,respectful,truthful,moral","unacceptable,irresponsible,stupid,unfair","ignorant,dangerous,unjust,foolish","competitive,traditional,concrete,profit-driven","collectivist,cooperative,rural,purpose-driven","strong,encouraging,wise,sincere","important,respectful,consistent,moral","irresponsible,dishonest,destructive,selfish","ignorant,hateful,unjust,awful","individualistic,young,urban,profit-driven","collectivist,pragmatic,cooperative,modern","strong,sensible,great,wise","decent,respectful,consistent,moral","unacceptable,irresponsible,stupid,unfair","irrational,unjust,poor,foolish","individualistic,competitive,urban,profit-driven","modern,old,rural,purpose-driven",Massachusetts,Democrat,,Agnostic (not sure if God exists),,Not at all1,Bachelor's degree
"strong,great,wise,happy","healthy,important,respectful,truthful","irresponsible,disgusting,unfair,dishonest","irrational,dangerous,unjust,poor","artistic,competitive,traditional,urban","collectivist,modern,abstract,rural","encouraging,sensible,great,sincere","decent,confident,consistent,moral","unacceptable,disgusting,stupid,dishonest","dangerous,unjust,foolish,awful","competitive,traditional,concrete,profit-driven","collectivist,abstract,old,rural","strong,wise,sincere,happy","important,confident,truthful,moral","unacceptable,stupid,unfair,selfish","ignorant,irrational,poor,foolish","individualistic,artistic,traditional,profit-driven","collectivist,cooperative,abstract,purpose-driven","strong,encouraging,wise,sincere","healthy,important,confident,moral","disgusting,stupid,unfair,dishonest","dangerous,unjust,poor,foolish","artistic,competitive,young,profit-driven","pragmatic,cooperative,modern,rural",Alabama,Democrat,,Catholicism (including Roman Catholic),,Extremely7,Some college or Associate's degree
"kind,strong,great,happy","important,confident,consistent,moral","irresponsible,stupid,dishonest,selfish","ignorant,irrational,dangerous,foolish","competitive,concrete,urban,profit-driven","collectivist,cooperative,modern,purpose-driven","kind,strong,sensible,great","confident,respectful,consistent,moral","irresponsible,dishonest,destructive,selfish","ignorant,irrational,poor,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,old,rural,purpose-driven","kind,encouraging,sensible,sincere","decent,confident,respectful,truthful","irresponsible,disgusting,unfair,dishonest","dangerous,hateful,unjust,poor","competitive,young,urban,profit-driven","pragmatic,modern,abstract,purpose-driven","strong,encouraging,great,sincere","important,decent,confident,consistent","irresponsible,dishonest,destructive,selfish","ignorant,dangerous,hateful,unjust","individualistic,competitive,urban,profit-driven","cooperative,modern,abstract,purpose-driven",Ohio,Republican,,Catholicism (including Roman Catholic),,3,"Post-graduate education (Master's degree, PhD, MBA, MD, etc.)"
"strong,sensible,great,wise","important,respectful,consistent,truthful","unfair,dishonest,destructive,selfish","irrational,dangerous,hateful,poor","artistic,competitive,traditional,profit-driven","cooperative,modern,old,purpose-driven","strong,sensible,great,wise","important,confident,respectful,consistent","irresponsible,unfair,destructive,selfish","irrational,dangerous,hateful,unjust","individualistic,competitive,traditional,profit-driven","cooperative,abstract,old,purpose-driven","strong,sensible,great,wise","important,confident,respectful,truthful","irresponsible,unfair,destructive,selfish","irrational,dangerous,hateful,poor","artistic,competitive,traditional,profit-driven","cooperative,abstract,old,purpose-driven","strong,sensible,great,wise","important,confident,respectful,consistent","irresponsible,unfair,destructive,selfish","irrational,dangerous,hateful,poor","artistic,competitive,traditional,profit-driven","cooperative,abstract,old,purpose-driven",California,Democrat,,Other Christianity (including non-denominational),,Extremely7,Some college or Associate's degree
"kind,sensible,wise,sincere","decent,respectful,truthful,moral","unacceptable,irresponsible,unfair,selfish","ignorant,irrational,hateful,foolish","competitive,traditional,concrete,profit-driven","cooperative,old,rural,purpose-driven","strong,sensible,wise,sincere","decent,respectful,consistent,moral","unacceptable,irresponsible,unfair,selfish","ignorant,irrational,unjust,foolish","competitive,traditional,concrete,profit-driven","cooperative,old,rural,purpose-driven","strong,great,wise,sincere","healthy,important,confident,consistent","disgusting,stupid,unfair,destructive","dangerous,hateful,unjust,awful","competitive,traditional,concrete,profit-driven","pragmatic,modern,old,purpose-driven","strong,great,wise,sincere","important,decent,confident,consistent","unacceptable,irresponsible,unfair,selfish","ignorant,hateful,unjust,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,cooperative,old,purpose-driven",Oregon,Republican,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,Extremely7,"Post-graduate education (Master's degree, PhD, MBA, MD, etc.)"
"strong,encouraging,sensible,great","important,decent,confident,respectful","irresponsible,stupid,unfair,selfish","ignorant,irrational,dangerous,unjust","individualistic,competitive,young,profit-driven","pragmatic,cooperative,modern,purpose-driven","kind,encouraging,sensible,wise","important,confident,respectful,moral","irresponsible,stupid,unfair,dishonest","ignorant,irrational,unjust,foolish","artistic,traditional,concrete,profit-driven","collectivist,cooperative,old,rural","encouraging,sensible,great,wise","important,confident,respectful,consistent","irresponsible,unfair,dishonest,destructive","ignorant,irrational,dangerous,hateful","individualistic,competitive,urban,profit-driven","collectivist,pragmatic,cooperative,purpose-driven","strong,encouraging,sensible,wise","important,decent,confident,consistent","stupid,unfair,destructive,selfish","ignorant,irrational,dangerous,foolish","individualistic,competitive,young,profit-driven","pragmatic,modern,abstract,purpose-driven",Washington,Democrat,,Buddhism,,3,Bachelor's degree
"kind,strong,great,happy","healthy,decent,confident,respectful","irresponsible,unfair,dishonest,destructive","dangerous,hateful,unjust,foolish","individualistic,competitive,urban,profit-driven","modern,old,rural,purpose-driven","strong,great,wise,happy","healthy,important,confident,truthful","unacceptable,stupid,destructive,selfish","ignorant,irrational,dangerous,hateful","competitive,traditional,urban,profit-driven","cooperative,modern,old,purpose-driven","strong,encouraging,sensible,sincere","decent,confident,consistent,truthful","unacceptable,disgusting,unfair,selfish","dangerous,poor,foolish,awful","artistic,competitive,young,urban","cooperative,modern,old,rural","kind,strong,great,happy","important,decent,confident,respectful","unacceptable,unfair,destructive,selfish","dangerous,hateful,unjust,foolish","competitive,young,urban,profit-driven","modern,old,rural,purpose-driven",Wisconsin,Republican,,Agnostic (not sure if God exists),,2,Some college or Associate's degree
"strong,encouraging,sensible,happy","healthy,important,confident,consistent","irresponsible,stupid,unfair,dishonest","ignorant,irrational,unjust,foolish","individualistic,competitive,concrete,profit-driven","pragmatic,modern,abstract,purpose-driven","strong,sensible,great,wise","important,decent,consistent,truthful","irresponsible,disgusting,stupid,dishonest","ignorant,irrational,dangerous,foolish","competitive,traditional,urban,profit-driven","collectivist,pragmatic,old,purpose-driven","kind,strong,encouraging,happy","healthy,important,confident,consistent","irresponsible,stupid,unfair,selfish","ignorant,irrational,dangerous,poor","competitive,traditional,concrete,profit-driven","collectivist,modern,abstract,purpose-driven","strong,sensible,great,sincere","decent,respectful,consistent,truthful","irresponsible,stupid,unfair,selfish","ignorant,dangerous,unjust,foolish","individualistic,competitive,traditional,urban","collectivist,pragmatic,modern,purpose-driven",California,Democrat,,Agnostic (not sure if God exists),,Not at all1,Some college or Associate's degree
"kind,strong,great,happy","important,decent,confident,consistent","irresponsible,dishonest,destructive,selfish","ignorant,irrational,dangerous,hateful","individualistic,artistic,competitive,profit-driven","pragmatic,cooperative,abstract,purpose-driven","strong,sensible,great,wise","important,decent,respectful,moral","unacceptable,irresponsible,stupid,destructive","irrational,dangerous,poor,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,old,rural,purpose-driven","kind,encouraging,great,happy","healthy,decent,respectful,consistent","unacceptable,unfair,dishonest,selfish","ignorant,dangerous,hateful,unjust","individualistic,concrete,young,urban","collectivist,cooperative,modern,abstract","strong,sensible,great,wise","important,decent,confident,consistent","unacceptable,disgusting,dishonest,selfish","ignorant,irrational,dangerous,hateful","individualistic,competitive,urban,profit-driven","pragmatic,cooperative,modern,purpose-driven",Illinois,Republican,,Catholicism (including Roman Catholic),,4,Bachelor's degree
